legacy_fingerprint,dataset,model,task,seed,fold_id,window_length,reservoir_size,normalization,input_mapping,topology_variant,rewire_seed,v1_5_identity_id,n_ok_records_on_this_substrate,n_scored_on_this_substrate,n_config_hashes_on_this_substrate,config_hashes,experiments,n_substrates_sharing_this_fingerprint,classification
0012c537bfc44231,d2_beef_uncontrolled,R1,classification,0,2,16,1000,,,R1_weight_shuffled,,4fa335dac8c085fc,1,1,1,aeaa183639c5,e9_size_d2_n1000,5,single_scored_evaluation
0012c537bfc44231,d2_beef_uncontrolled,R1,classification,0,2,16,2000,,,R1_weight_shuffled,,e487a4c5f9855588,1,1,1,45dea923f5eb,e9_size_d2_n2000,5,single_scored_evaluation
0012c537bfc44231,d2_beef_uncontrolled,R1,classification,0,2,16,250,,,R1_weight_shuffled,,ce940fac4ead8430,2,2,2,2b681f4040fc|e2dbcef1dad6,e9_size_d2|e9_size_d2_n250,5,true_repeat_different_config
0012c537bfc44231,d2_beef_uncontrolled,R1,classification,0,2,16,4000,,,R1_weight_shuffled,,db22e814387ea996,1,1,1,e2526bc8a3c8,e9_size_d2_n4000,5,single_scored_evaluation
0012c537bfc44231,d2_beef_uncontrolled,R1,classification,0,2,16,500,,,R1_weight_shuffled,,956e82f91b1276ee,1,1,1,5ef9f26a4c53,e9_size_d2_n500,5,single_scored_evaluation
071df0094d414bd8,d2_beef_uncontrolled,R2,classification,0,1,16,1000,,,R2_degree_rewired,,bf0e456ca9d5ace8,1,1,1,aeaa183639c5,e9_size_d2_n1000,5,single_scored_evaluation
071df0094d414bd8,d2_beef_uncontrolled,R2,classification,0,1,16,2000,,,R2_degree_rewired,,349f65cbf79b6a7a,1,1,1,45dea923f5eb,e9_size_d2_n2000,5,single_scored_evaluation
071df0094d414bd8,d2_beef_uncontrolled,R2,classification,0,1,16,250,,,R2_degree_rewired,,d07ff84a9f83c7bc,2,2,2,2b681f4040fc|e2dbcef1dad6,e9_size_d2|e9_size_d2_n250,5,true_repeat_different_config
071df0094d414bd8,d2_beef_uncontrolled,R2,classification,0,1,16,4000,,,R2_degree_rewired,,96d7cfc8cd13746b,1,1,1,e2526bc8a3c8,e9_size_d2_n4000,5,single_scored_evaluation
071df0094d414bd8,d2_beef_uncontrolled,R2,classification,0,1,16,500,,,R2_degree_rewired,,baeafce75998f50d,1,1,1,5ef9f26a4c53,e9_size_d2_n500,5,single_scored_evaluation
097d44bf87f777ec,d2_beef_uncontrolled,R1,regression,0,4,16,1000,,,R1_weight_shuffled,,1047ead46cf471ed,1,1,1,aeaa183639c5,e9_size_d2_n1000,5,single_scored_evaluation
097d44bf87f777ec,d2_beef_uncontrolled,R1,regression,0,4,16,2000,,,R1_weight_shuffled,,9c256a4c37921c65,1,1,1,45dea923f5eb,e9_size_d2_n2000,5,single_scored_evaluation
097d44bf87f777ec,d2_beef_uncontrolled,R1,regression,0,4,16,250,,,R1_weight_shuffled,,450684df2b40ce42,2,2,2,2b681f4040fc|e2dbcef1dad6,e9_size_d2|e9_size_d2_n250,5,true_repeat_different_config
097d44bf87f777ec,d2_beef_uncontrolled,R1,regression,0,4,16,4000,,,R1_weight_shuffled,,f454b56dc1d0f19a,1,1,1,e2526bc8a3c8,e9_size_d2_n4000,5,single_scored_evaluation
097d44bf87f777ec,d2_beef_uncontrolled,R1,regression,0,4,16,500,,,R1_weight_shuffled,,b15a3a782b126dd0,1,1,1,5ef9f26a4c53,e9_size_d2_n500,5,single_scored_evaluation
0af9b1b82119ed64,d2_beef_uncontrolled,R3,classification,0,2,16,1000,,,R3_random_sparse,,6ccc0884b3fadad2,1,1,1,aeaa183639c5,e9_size_d2_n1000,5,single_scored_evaluation
0af9b1b82119ed64,d2_beef_uncontrolled,R3,classification,0,2,16,2000,,,R3_random_sparse,,042a463a60f4e5ef,1,1,1,45dea923f5eb,e9_size_d2_n2000,5,single_scored_evaluation
0af9b1b82119ed64,d2_beef_uncontrolled,R3,classification,0,2,16,250,,,R3_random_sparse,,78471caed251c07c,2,2,2,2b681f4040fc|e2dbcef1dad6,e9_size_d2|e9_size_d2_n250,5,true_repeat_different_config
0af9b1b82119ed64,d2_beef_uncontrolled,R3,classification,0,2,16,4000,,,R3_random_sparse,,b542dfdd91d3020b,1,1,1,e2526bc8a3c8,e9_size_d2_n4000,5,single_scored_evaluation
0af9b1b82119ed64,d2_beef_uncontrolled,R3,classification,0,2,16,500,,,R3_random_sparse,,d0eb869b9213c449,1,1,1,5ef9f26a4c53,e9_size_d2_n500,5,single_scored_evaluation
0c0ae5b7443fe870,d2_beef_uncontrolled,R6,classification,0,0,16,1000,,,R6_dense_random,,0d44149e28dd88a4,1,1,1,aeaa183639c5,e9_size_d2_n1000,5,single_scored_evaluation
0c0ae5b7443fe870,d2_beef_uncontrolled,R6,classification,0,0,16,2000,,,R6_dense_random,,f9da8ae63528fec9,1,1,1,45dea923f5eb,e9_size_d2_n2000,5,single_scored_evaluation
0c0ae5b7443fe870,d2_beef_uncontrolled,R6,classification,0,0,16,250,,,R6_dense_random,,f532b997f861fbeb,2,2,2,2b681f4040fc|e2dbcef1dad6,e9_size_d2|e9_size_d2_n250,5,true_repeat_different_config
0c0ae5b7443fe870,d2_beef_uncontrolled,R6,classification,0,0,16,4000,,,R6_dense_random,,fd11b979393401ab,1,1,1,e2526bc8a3c8,e9_size_d2_n4000,5,single_scored_evaluation
0c0ae5b7443fe870,d2_beef_uncontrolled,R6,classification,0,0,16,500,,,R6_dense_random,,0c7dae2e303a68c0,1,1,1,5ef9f26a4c53,e9_size_d2_n500,5,single_scored_evaluation
19abfd52932e166e,d2_beef_uncontrolled,R2,classification,0,3,16,1000,,,R2_degree_rewired,,1fff688236c63f74,1,1,1,aeaa183639c5,e9_size_d2_n1000,5,single_scored_evaluation
19abfd52932e166e,d2_beef_uncontrolled,R2,classification,0,3,16,2000,,,R2_degree_rewired,,7d3a742fd13b0806,1,1,1,45dea923f5eb,e9_size_d2_n2000,5,single_scored_evaluation
