experiment,dataset,model,task,window_length,protocol_version,evidence_class,protocol_compliant,status,cpu_seconds_mean,cpu_seconds_std,accuracy_mean,accuracy_std,auroc_mean,auroc_std,auroc_n_classes_scored_mean,auroc_n_classes_scored_std,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,mae_mean,mae_std,r2_mean,r2_std,rmse_mean,rmse_std,n_seeds,n_runs,n_specimen_evaluations,n_distinct_specimens,n_auroc_defined,mean_duration_s,mean_cpu_seconds
e9_size_d2_n1000,d2_beef_uncontrolled,R0,classification,16,1.4.0,real,True,ok,0.0,0.0,0.4096037296037296,0.17376323940491137,0.5456600796551463,0.12830389670894585,4.0,0.0,0.34987381056946276,0.10576750582269977,0.2708646239589319,0.15937933858663536,,,,,,,1,5,5,5,5,5.221366942673922,0.0
e9_size_d2_n1000,d2_beef_uncontrolled,R0,regression,16,1.4.0,real,True,ok,0.0,0.0,,,,,,,,,,,5.97470362822288,7.901537174726827,-134.44820258010685,231.34981589157817,6.464713915697383,8.467706811038639,1,5,5,5,0,7.662022576201707,0.0
e9_size_d2_n1000,d2_beef_uncontrolled,R1,classification,16,1.4.0,real,True,ok,0.0,0.0,0.41417249417249413,0.17256049880883434,0.548223000595146,0.12289673656519409,4.0,0.0,0.35308121065729764,0.10314544122313837,0.265952771271723,0.16000152990511549,,,,,,,1,5,5,5,5,5.333146562892944,0.0
e9_size_d2_n1000,d2_beef_uncontrolled,R1,regression,16,1.4.0,real,True,ok,0.0,0.0,,,,,,,,,,,5.518029119761957,7.450420155837222,-118.64029079090105,214.04869560962175,5.986995503407213,7.982383340644039,1,5,5,5,0,6.745158030744642,0.0
e9_size_d2_n1000,d2_beef_uncontrolled,R2,classification,16,1.4.0,real,True,ok,0.0,0.0,0.4250815850815851,0.1736868613438836,0.542306149513241,0.12437966194455771,4.0,0.0,0.3613936204697074,0.10701128390874154,0.27471314052739426,0.1627260622766485,,,,,,,1,5,5,5,5,5.4321194183081385,0.0
e9_size_d2_n1000,d2_beef_uncontrolled,R2,regression,16,1.4.0,real,True,ok,0.0,0.0,,,,,,,,,,,5.547377152887213,7.428606213463954,-118.3094745689726,211.61859794242437,6.008033718228356,7.954641345794854,1,5,5,5,0,4.024128746800125,0.0
e9_size_d2_n1000,d2_beef_uncontrolled,R3,classification,16,1.4.0,real,True,ok,0.0,0.0,0.37137529137529135,0.1922622253237531,0.5514408279688696,0.138127527045982,4.0,0.0,0.3145966654118828,0.12190040583819868,0.2388288155794532,0.16015458826080645,,,,,,,1,5,5,5,5,4.934272371325642,0.0
e9_size_d2_n1000,d2_beef_uncontrolled,R3,regression,16,1.4.0,real,True,ok,0.0,0.0,,,,,,,,,,,5.508911672054963,7.17510779895971,-111.322155176527,187.46640648820116,5.979150233829522,7.651470125422762,1,5,5,5,0,5.545919135026634,0.0
e9_size_d2_n1000,d2_beef_uncontrolled,R4,classification,16,1.4.0,real,True,ok,0.0,0.0,0.38303030303030305,0.1930322157319533,0.5196296870771395,0.12871377582563232,4.0,0.0,0.3283574617813748,0.12162084402282944,0.25575234436921607,0.1587811987872419,,,,,,,1,5,5,5,5,14.940991678927094,0.0
e9_size_d2_n1000,d2_beef_uncontrolled,R4,regression,16,1.4.0,real,True,ok,0.0,0.0,,,,,,,,,,,6.061258555548235,7.965665198464332,-139.5347616859947,238.49255698993878,6.597425929992487,8.622627562520032,1,5,5,5,0,24.302802636381237,0.0
e9_size_d2_n1000,d2_beef_uncontrolled,R5,classification,16,1.4.0,real,True,ok,0.0,0.0,0.3857342657342657,0.19105165858737788,0.5368670181006399,0.12161667397706852,4.0,0.0,0.3256499466716858,0.12389999783456643,0.24855925926315603,0.1692019390546482,,,,,,,1,5,5,5,5,4.932943370752037,0.0
e9_size_d2_n1000,d2_beef_uncontrolled,R5,regression,16,1.4.0,real,True,ok,0.0,0.0,,,,,,,,,,,5.921717498199877,7.8800632722088535,-133.06288271090312,233.60625333930767,6.40684997428324,8.42020731934323,1,5,5,5,0,7.252993307076395,0.0
e9_size_d2_n1000,d2_beef_uncontrolled,R6,classification,16,1.4.0,real,True,ok,0.0,0.0,0.37100233100233104,0.20047471115451804,0.5274609344611497,0.16300376578615453,4.0,0.0,0.31911105360018405,0.12910556447392668,0.22917585593069506,0.1804222537780694,,,,,,,1,5,5,5,5,140.66140669416637,0.0
e9_size_d2_n1000,d2_beef_uncontrolled,R6,regression,16,1.4.0,real,True,ok,0.0,0.0,,,,,,,,,,,5.403359723220715,7.840202283318447,-131.02357309144395,258.75446861775896,5.942563450479702,8.578582937029456,1,5,5,5,0,111.1706753861159,0.0
