experiment,dataset,model,task,window_length,protocol_version,evidence_class,protocol_compliant,status,cpu_seconds_mean,cpu_seconds_std,accuracy_mean,accuracy_std,auroc_mean,auroc_std,auroc_n_classes_scored_mean,auroc_n_classes_scored_std,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,mae_mean,mae_std,r2_mean,r2_std,rmse_mean,rmse_std,n_seeds,n_runs,n_specimen_evaluations,n_distinct_specimens,n_auroc_defined,mean_duration_s,mean_cpu_seconds
e9_size_d2,d2_beef_uncontrolled,R0,classification,16,1.4.0,real,True,ok,0.0,0.0,0.3848018648018648,0.20475453356477386,0.5841446020786419,0.1347881974832839,4.0,0.0,0.39348894744546914,0.16959583380890472,0.3140960339361904,0.2323813578184416,,,,,,,1,5,5,5,5,2.6546321104280652,0.0
e9_size_d2,d2_beef_uncontrolled,R0,regression,16,1.4.0,real,True,ok,0.0,0.0,,,,,,,,,,,1.690164847460471,2.23922364969931,-10.430501254766003,22.357131778141596,1.8835314387584454,2.398658833649719,1,5,5,5,0,2.2100854367949068,0.0
e9_size_d2,d2_beef_uncontrolled,R1,classification,16,1.4.0,real,True,ok,0.0,0.0,0.37678321678321675,0.20710569393235428,0.5728079484732377,0.14502221052110864,4.0,0.0,0.37745498462889765,0.1713657958350815,0.30746006606566495,0.2322924349251685,,,,,,,1,5,5,5,5,2.6437003743834793,0.0
e9_size_d2,d2_beef_uncontrolled,R1,regression,16,1.4.0,real,True,ok,0.0,0.0,,,,,,,,,,,1.7687156467811094,2.407496438080821,-11.716307905765392,25.59956371738692,1.9408195781607298,2.562187456164115,1,5,5,5,0,2.2193472143262625,0.0
e9_size_d2,d2_beef_uncontrolled,R2,classification,16,1.4.0,real,True,ok,0.0,0.0,0.38610722610722614,0.21117759326376273,0.5939539817088298,0.13189127103367632,4.0,0.0,0.38793148880105405,0.17081438033435542,0.30838663454101295,0.2337688515728536,,,,,,,1,5,5,5,5,2.5000827038660645,0.0
e9_size_d2,d2_beef_uncontrolled,R2,regression,16,1.4.0,real,True,ok,0.0,0.0,,,,,,,,,,,1.6108566962614475,1.8974349995006465,-7.982777104867681,15.903771058556138,1.8015630227609336,2.022610646074846,1,5,5,5,0,2.100211669784039,0.0
e9_size_d2,d2_beef_uncontrolled,R3,classification,16,1.4.0,real,True,ok,0.0,0.0,0.3918881118881119,0.1990322760623166,0.6090467730791395,0.11287485967004396,4.0,0.0,0.3872068511198946,0.15882555773274695,0.31252192288215996,0.21468140105315012,,,,,,,1,5,5,5,5,2.4938586064614356,0.0
e9_size_d2,d2_beef_uncontrolled,R3,regression,16,1.4.0,real,True,ok,0.0,0.0,,,,,,,,,,,1.5574554233660405,1.8676192475028264,-7.137809682930936,14.436206425568336,1.722147815778427,1.9161371128886246,1,5,5,5,0,2.1002092490904034,0.0
e9_size_d2,d2_beef_uncontrolled,R4,classification,16,1.4.0,real,True,ok,0.0,0.0,0.34013986013986014,0.21757746074413933,0.5709918311156994,0.125224327239132,4.0,0.0,0.34600636802810714,0.16833893890413776,0.28460050919579566,0.22849648175492596,,,,,,,1,5,5,5,5,3.034730313066393,0.0
e9_size_d2,d2_beef_uncontrolled,R4,regression,16,1.4.0,real,True,ok,0.0,0.0,,,,,,,,,,,2.6584623389038704,3.37276584624917,-30.101720984387992,55.594194143145565,3.1490630113675184,3.9754685617378955,1,5,5,5,0,2.545403326768428,0.0
e9_size_d2,d2_beef_uncontrolled,R5,classification,16,1.4.0,real,True,ok,0.0,0.0,0.35440559440559444,0.24523704382838088,0.5406253003018289,0.151272526037158,4.0,0.0,0.34390850534328793,0.2123411756963542,0.288207448905027,0.26240642562090755,,,,,,,1,5,5,5,5,2.5050474962219598,0.0
e9_size_d2,d2_beef_uncontrolled,R5,regression,16,1.4.0,real,True,ok,0.0,0.0,,,,,,,,,,,1.7089255639994794,2.007879582989949,-10.510210164480272,21.054462336025118,1.9974148328116133,2.322841739154383,1,5,5,5,0,2.117340600118041,0.0
e9_size_d2,d2_beef_uncontrolled,R6,classification,16,1.4.0,real,True,ok,0.0,0.0,0.365034965034965,0.20816829657197097,0.59444493974861,0.11971046352310268,4.0,0.0,0.3637821695213,0.16884685152294382,0.2942492445152588,0.22210153465795754,,,,,,,1,5,5,5,5,9.57854595007375,0.0
e9_size_d2,d2_beef_uncontrolled,R6,regression,16,1.4.0,real,True,ok,0.0,0.0,,,,,,,,,,,1.3910871701762413,1.8099702947941292,-6.882431538229038,15.836314763019434,1.5843034112716103,1.9613671350320805,1,5,5,5,0,7.79726447518915,0.0
