family,rho,n,A4_mean,A4_sd,A4_median,A4_ci_lo,A4_ci_hi,frac_A4_gt_0,frac_A4_lt_0,M_recurrent_mean,M_A0_mean,passes_A4_MIN_frac,spearman_rho_vs_A4,spearman_ci_lo,spearman_ci_hi,monotonicity_violations,expected_direction,directional_validity
C1,0.0,30,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,0.010507,0.010507,0.0000,-0.129200,-0.298729,0.055823,4,+,FAIL
C1,0.25,30,-0.001889,0.106001,0.007676,-0.155228,0.180473,0.5333,0.4667,0.010476,0.010507,0.0333,-0.129200,-0.298729,0.055823,4,+,FAIL
C1,0.5,30,-0.007439,0.207569,-0.024071,-0.324305,0.367727,0.4667,0.5333,0.010548,0.010507,0.1333,-0.129200,-0.298729,0.055823,4,+,FAIL
C1,0.75,30,-0.054410,0.307684,-0.073958,-0.559681,0.477195,0.4000,0.6000,0.010353,0.010507,0.2667,-0.129200,-0.298729,0.055823,4,+,FAIL
C1,0.95,30,-0.196199,0.450140,-0.079783,-0.922276,0.419286,0.4333,0.5667,0.009493,0.010507,0.2000,-0.129200,-0.298729,0.055823,4,+,FAIL
C2,0.0,30,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,0.010102,0.010102,0.0000,-0.010712,-0.177605,0.157244,3,+,FAIL
C2,0.25,30,-0.007882,0.092408,-0.011509,-0.147317,0.153552,0.4667,0.5333,0.010010,0.010102,0.0000,-0.010712,-0.177605,0.157244,3,+,FAIL
C2,0.5,30,-0.007342,0.213011,0.019633,-0.385240,0.312010,0.5333,0.4667,0.010098,0.010102,0.2000,-0.010712,-0.177605,0.157244,3,+,FAIL
C2,0.75,30,-0.046943,0.326343,-0.016717,-0.723621,0.374972,0.4667,0.5333,0.009931,0.010102,0.3000,-0.010712,-0.177605,0.157244,3,+,FAIL
C2,0.95,30,-0.070890,0.363219,0.000938,-0.941113,0.464647,0.5000,0.5000,0.009838,0.010102,0.2000,-0.010712,-0.177605,0.157244,3,+,FAIL
C3,0.0,30,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,0.014564,0.014564,0.0000,0.015521,-0.148747,0.184560,4,+,FAIL
C3,0.25,30,-0.007116,0.160719,0.016763,-0.422062,0.186932,0.5667,0.4333,0.014696,0.014564,0.0000,0.015521,-0.148747,0.184560,4,+,FAIL
C3,0.5,30,-0.081640,0.427613,0.028134,-1.137364,0.275566,0.5333,0.4667,0.014495,0.014564,0.1667,0.015521,-0.148747,0.184560,4,+,FAIL
C3,0.75,30,-0.093737,0.410491,0.034081,-1.236683,0.345654,0.5333,0.4667,0.014356,0.014564,0.2333,0.015521,-0.148747,0.184560,4,+,FAIL
C3,0.95,30,-0.153576,0.543340,0.007574,-1.387340,0.431104,0.5000,0.5000,0.013942,0.014564,0.2333,0.015521,-0.148747,0.184560,4,+,FAIL
C4,0.0,30,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,0.000000,0.000000,0.0000,nan,nan,nan,0,+,FAIL
C4,0.25,30,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,0.000000,0.000000,0.0000,nan,nan,nan,0,+,FAIL
C4,0.5,30,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,0.000000,0.000000,0.0000,nan,nan,nan,0,+,FAIL
C4,0.75,30,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,0.000000,0.000000,0.0000,nan,nan,nan,0,+,FAIL
C4,0.95,30,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,0.000000,0.000000,0.0000,nan,nan,nan,0,+,FAIL
C6,0.0,30,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,0.014564,0.014564,0.0000,-0.228231,-0.387239,-0.055743,4,+,FAIL
C6,0.25,30,-0.008036,0.163531,0.014424,-0.414824,0.181259,0.6000,0.4000,0.014694,0.014564,0.0000,-0.228231,-0.387239,-0.055743,4,+,FAIL
C6,0.5,30,-0.112203,0.468766,0.006723,-1.246238,0.256465,0.5000,0.5000,0.014264,0.014564,0.1333,-0.228231,-0.387239,-0.055743,4,+,FAIL
C6,0.75,30,-0.195697,0.541137,-0.061093,-1.326126,0.415169,0.4000,0.6000,0.013517,0.014564,0.2000,-0.228231,-0.387239,-0.055743,4,+,FAIL
C6,0.95,30,-0.561732,0.944850,-0.343943,-3.157915,0.515686,0.3000,0.7000,0.011340,0.014564,0.1333,-0.228231,-0.387239,-0.055743,4,+,FAIL
C7,0.0,30,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,0.014564,0.014564,0.0000,-0.228231,-0.387038,-0.051615,4,+,FAIL
C7,0.25,30,-0.008036,0.163531,0.014424,-0.414824,0.181259,0.6000,0.4000,0.014694,0.014564,0.0000,-0.228231,-0.387038,-0.051615,4,+,FAIL
C7,0.5,30,-0.112203,0.468766,0.006723,-1.246238,0.256465,0.5000,0.5000,0.014264,0.014564,0.1333,-0.228231,-0.387038,-0.051615,4,+,FAIL
C7,0.75,30,-0.195697,0.541137,-0.061093,-1.326126,0.415169,0.4000,0.6000,0.013517,0.014564,0.2000,-0.228231,-0.387038,-0.051615,4,+,FAIL
C7,0.95,30,-0.561732,0.944850,-0.343943,-3.157915,0.515686,0.3000,0.7000,0.011340,0.014564,0.1333,-0.228231,-0.387038,-0.051615,4,+,FAIL
