origin_path,origin_sha256,origin_dir,origin_experiment,legacy_test_fingerprint,v1_5_evidence_unit_id,v1_5_legacy_alias,dataset,task,fold_fingerprint,model,window_length,condition,reservoir_size,normalization,input_mapping,topology_variant,rewire_seed,unit_identity_collided,records_in_unit,disposition,disposition_reason,kept_config_hash,config_hash,status,timestamp_utc
results/audit/m4_audit/server_evidence/ev/e9_size_d2/d2_beef_uncontrolled/R1/classification_seed00_fold02.json,3ddb62166ecaa5688e74e83875a3bec74828b05d057f7a50ea407f920eb0b4fb,e9_size_d2,e9_size_d2,0012c537bfc44231,53f046587b730d66,0012c537bfc44231,d2_beef_uncontrolled,classification,8f5d6031eff3,R1,16,full,250,n1_pre_l1,dense_random_all_nodes,R1_weight_shuffled,0,True,2,adopted,kept touch of a duplicated unit (2 records); kept = the record with the earliest timestamp_utc; ties broken by the lexicographically smaller config_hash. Chosen without reference to any metric: selecting the better-scoring touch would be choosing the design after knowing which way the result leans.,2b681f4040fc,2b681f4040fc,ok,2026-09-22T06:07:31.919900+00:00
results/audit/m4_audit/server_evidence/ev/e9_size_d2_n250/d2_beef_uncontrolled/R1/classification_seed00_fold02.json,234b9cb8b8a1c6ba18e66aede56acf1657430df88dbcbd811523f440e9f894fc,e9_size_d2_n250,e9_size_d2_n250,0012c537bfc44231,53f046587b730d66,0012c537bfc44231,d2_beef_uncontrolled,classification,8f5d6031eff3,R1,16,full,250,n1_pre_l1,dense_random_all_nodes,R1_weight_shuffled,0,True,2,duplicate_test_touch,"second scored evaluation of the same evidence unit (N=250, same split, same model, same condition) under config e2dbcef1dad6; the kept touch is 2b681f4040fc at 2026-09-22T06:07:31.919900+00:00. kept = the record with the earliest timestamp_utc; ties broken by the lexicographically smaller config_hash. Chosen without reference to any metric: selecting the better-scoring touch would be choosing the design after knowing which way the result leans.",2b681f4040fc,e2dbcef1dad6,ok,2026-09-22T06:52:35.716137+00:00
results/audit/m4_audit/server_evidence/ev/e9_size_d2_n500/d2_beef_uncontrolled/R1/classification_seed00_fold02.json,1267668b3beb13ad0040ca4b8f6fe7af09551b44fca57c040525aad6af1a3734,e9_size_d2_n500,e9_size_d2_n500,0012c537bfc44231,4f856b0343f13c70,0012c537bfc44231,d2_beef_uncontrolled,classification,8f5d6031eff3,R1,16,full,500,n1_pre_l1,dense_random_all_nodes,R1_weight_shuffled,0,True,1,adopted,sole scored evaluation of this evidence unit,5ef9f26a4c53,5ef9f26a4c53,ok,2026-09-22T06:54:36.618748+00:00
results/audit/m4_audit/server_evidence/ev/e9_size_d2_n1000/d2_beef_uncontrolled/R1/classification_seed00_fold02.json,bac61be5643b4628e83dcc327b71e09786485a19b7d1f9ed42596cbb2bfe549c,e9_size_d2_n1000,e9_size_d2_n1000,0012c537bfc44231,b1fac1ef2da8fd2d,0012c537bfc44231,d2_beef_uncontrolled,classification,8f5d6031eff3,R1,16,full,1000,n1_pre_l1,dense_random_all_nodes,R1_weight_shuffled,0,True,1,adopted,sole scored evaluation of this evidence unit,aeaa183639c5,aeaa183639c5,ok,2026-09-22T07:03:20.483598+00:00
results/audit/m4_audit/server_evidence/ev/e9_size_d2_n2000/d2_beef_uncontrolled/R1/classification_seed00_fold02.json,a7cc4821a72388dc37f7ec8a8192b37ea0be9d6f629c00040f7d04b0aea99abe,e9_size_d2_n2000,e9_size_d2_n2000,0012c537bfc44231,ba02707ee971e71a,0012c537bfc44231,d2_beef_uncontrolled,classification,8f5d6031eff3,R1,16,full,2000,n1_pre_l1,dense_random_all_nodes,R1_weight_shuffled,0,True,1,adopted,sole scored evaluation of this evidence unit,45dea923f5eb,45dea923f5eb,ok,2026-09-22T07:30:13.778217+00:00
results/audit/m4_audit/server_evidence/ev/e9_size_d2_n4000/d2_beef_uncontrolled/R1/classification_seed00_fold02.json,11d1f9a5955bd14f10e34880fb949788c09c4dbce4f2c03f7b1f17f969cf16fa,e9_size_d2_n4000,e9_size_d2_n4000,0012c537bfc44231,f5bc41aebf08a8a2,0012c537bfc44231,d2_beef_uncontrolled,classification,8f5d6031eff3,R1,16,full,4000,n1_pre_l1,dense_random_all_nodes,R1_weight_shuffled,0,True,1,adopted,sole scored evaluation of this evidence unit,e2526bc8a3c8,e2526bc8a3c8,ok,2026-09-22T09:12:02.466809+00:00
results/audit/m4_audit/server_evidence/ev/e9_size_d2/d2_beef_uncontrolled/R2/classification_seed00_fold01.json,846ce833a5621e26884057193694bcfd8cc4708a45e5b0fe7f4d8ea44b3ac86a,e9_size_d2,e9_size_d2,071df0094d414bd8,657eaca24e2c866e,071df0094d414bd8,d2_beef_uncontrolled,classification,6c9ef01abdf9,R2,16,full,250,n1_pre_l1,dense_random_all_nodes,R2_degree_rewired,0,True,2,adopted,kept touch of a duplicated unit (2 records); kept = the record with the earliest timestamp_utc; ties broken by the lexicographically smaller config_hash. Chosen without reference to any metric: selecting the better-scoring touch would be choosing the design after knowing which way the result leans.,2b681f4040fc,2b681f4040fc,ok,2026-09-22T06:06:48.163252+00:00
results/audit/m4_audit/server_evidence/ev/e9_size_d2_n250/d2_beef_uncontrolled/R2/classification_seed00_fold01.json,4a74d2d10599e6bb970a4ccab3596fb4d93efd84b2a3d8062e3716d3ba6268a9,e9_size_d2_n250,e9_size_d2_n250,071df0094d414bd8,657eaca24e2c866e,071df0094d414bd8,d2_beef_uncontrolled,classification,6c9ef01abdf9,R2,16,full,250,n1_pre_l1,dense_random_all_nodes,R2_degree_rewired,0,True,2,duplicate_test_touch,"second scored evaluation of the same evidence unit (N=250, same split, same model, same condition) under config e2dbcef1dad6; the kept touch is 2b681f4040fc at 2026-09-22T06:06:48.163252+00:00. kept = the record with the earliest timestamp_utc; ties broken by the lexicographically smaller config_hash. Chosen without reference to any metric: selecting the better-scoring touch would be choosing the design after knowing which way the result leans.",2b681f4040fc,e2dbcef1dad6,ok,2026-09-22T06:51:43.775413+00:00
results/audit/m4_audit/server_evidence/ev/e9_size_d2_n500/d2_beef_uncontrolled/R2/classification_seed00_fold01.json,f2f1bf5b16b40f2a21aefa95dcbdd0f213ae7c9914769578ce8f93f389b1c773,e9_size_d2_n500,e9_size_d2_n500,071df0094d414bd8,8979a9a9646fa72f,071df0094d414bd8,d2_beef_uncontrolled,classification,6c9ef01abdf9,R2,16,full,500,n1_pre_l1,dense_random_all_nodes,R2_degree_rewired,0,True,1,adopted,sole scored evaluation of this evidence unit,5ef9f26a4c53,5ef9f26a4c53,ok,2026-09-22T06:52:52.981038+00:00
results/audit/m4_audit/server_evidence/ev/e9_size_d2_n1000/d2_beef_uncontrolled/R2/classification_seed00_fold01.json,660b32096c7ed11894b42edacfb53efdcb46423c365cb97a42ab648d50dbbe37,e9_size_d2_n1000,e9_size_d2_n1000,071df0094d414bd8,49b31dc78d98f119,071df0094d414bd8,d2_beef_uncontrolled,classification,6c9ef01abdf9,R2,16,full,1000,n1_pre_l1,dense_random_all_nodes,R2_degree_rewired,0,True,1,adopted,sole scored evaluation of this evidence unit,aeaa183639c5,aeaa183639c5,ok,2026-09-22T06:56:37.208582+00:00
