model,repetition,seed,task,n_train_windows,n_val_windows,n_channels,train_time_s,predict_time_s,ms_per_sample,peak_rss_kb,peak_gpu_mb,n_trainable_parameters,device,torch_num_threads
svm_rbf,0,0,classification,630,315,8,0.026820127852261066,0.017207975033670664,0.05462849217038306,558512,0.0,,cpu,1
svm_rbf,1,1,classification,630,315,8,0.026856717187911272,0.017560401931405067,0.055747307718746246,558512,0.0,,cpu,1
svm_rbf,2,2,classification,630,315,8,0.026651850901544094,0.017533383797854185,0.05566153586620376,558512,0.0,,cpu,1
random_forest,0,0,classification,630,315,8,1.0015129540115595,0.08364182570949197,0.26552960542695864,571528,0.0,8558,cpu,1
random_forest,1,1,classification,630,315,8,1.0330767501145601,0.060514317359775305,0.19210894399928666,572160,0.0,8507,cpu,1
random_forest,2,2,classification,630,315,8,0.9736485728062689,0.06315029878169298,0.20047713898950154,572400,0.0,8563,cpu,1
xgboost,0,0,classification,630,315,8,1.2222928209230304,0.0023784241639077663,0.007550552901294497,686900,0.0,5127,cpu,1
xgboost,1,1,classification,630,315,8,1.1992550259456038,0.002321300096809864,0.007369206656539251,692236,0.0,5103,cpu,1
xgboost,2,2,classification,630,315,8,1.1676802029833198,0.0027612396515905857,0.008765840163779638,694348,0.0,5104,cpu,1
pca_svm,0,0,classification,630,315,8,0.03559869294986129,0.018652187194675207,0.0592132926815086,696284,0.0,,cpu,1
pca_svm,1,1,classification,630,315,8,0.10624966584146023,0.013210602104663849,0.04193841937988523,696284,0.0,,cpu,1
pca_svm,2,2,classification,630,315,8,0.034301324747502804,0.0662935790605843,0.21045580654153748,696284,0.0,,cpu,1
gru,0,0,classification,630,315,8,1.6327578597702086,0.002305947244167328,0.007320467441801041,785976,0.0,4164,cpu,1
gru,1,1,classification,630,315,8,1.6463988861069083,0.0023653130047023296,0.007508930173658189,786076,0.0,4164,cpu,1
gru,2,2,classification,630,315,8,1.6490788948722184,0.0033224700018763542,0.01054752381548049,786112,0.0,4164,cpu,1
lstm,0,0,classification,630,315,8,0.7242255890741944,0.0018374850042164326,0.005833285727671215,803116,0.0,5508,cpu,1
lstm,1,1,classification,630,315,8,0.7232688656076789,0.001834220252931118,0.005822921437876565,803124,0.0,5508,cpu,1
lstm,2,2,classification,630,315,8,0.7246585157699883,0.002255219966173172,0.007159428464041816,803144,0.0,5508,cpu,1
cnn1d,0,0,classification,630,315,8,0.4387465571053326,0.0009581907652318478,0.003041875445180469,806940,0.0,932,cpu,1
cnn1d,1,1,classification,630,315,8,0.4379427111707628,0.0010100090876221657,0.003206378055943383,806956,0.0,932,cpu,1
cnn1d,2,2,classification,630,315,8,0.43798679392784834,0.0009911307133734226,0.0031464467091219766,806976,0.0,932,cpu,1
tcn,0,0,classification,630,315,8,0.6413105740211904,0.0014664307236671448,0.004655335630689349,807808,0.0,1220,cpu,1
tcn,1,1,classification,630,315,8,0.6441713711246848,0.001497811172157526,0.004754956102087385,807808,0.0,1220,cpu,1
tcn,2,2,classification,630,315,8,0.7199017899110913,0.0015918491408228874,0.0050534893359456745,807808,0.0,1220,cpu,1
esn,0,0,classification,630,315,8,0.16213997174054384,0.07586091477423906,0.2408283008706002,819680,0.0,804,cpu,1
esn,1,1,classification,630,315,8,0.1581417080014944,0.07720673410221934,0.2451007431816487,819684,0.0,804,cpu,1
esn,2,2,classification,630,315,8,0.15741660818457603,0.0749795320443809,0.23803026045835207,819684,0.0,804,cpu,1
