model,repetition,seed,task,n_train_windows,n_val_windows,n_channels,train_time_s,predict_time_s,ms_per_sample,peak_rss_kb,peak_gpu_mb,n_trainable_parameters,device,torch_num_threads
gru,0,0,classification,630,315,8,1.8898818637244403,0.0013725319877266884,0.004357244405481551,902452,27.328125,4164,cuda:0,1
gru,1,1,classification,630,315,8,2.4253027751110494,0.0019750623032450676,0.006270039057920849,902596,27.328125,4164,cuda:0,1
gru,2,2,classification,630,315,8,2.3983912840485573,0.0011636787094175816,0.0036942181251351795,902616,27.328125,4164,cuda:0,1
lstm,0,0,classification,630,315,8,1.0733990920707583,0.0013562152162194252,0.0043054451308553185,912652,31.2451171875,5508,cuda:0,1
lstm,1,1,classification,630,315,8,1.0242940271273255,0.0011389120481908321,0.0036155938037804197,912192,31.2451171875,5508,cuda:0,1
lstm,2,2,classification,630,315,8,1.0683844019658864,0.0010831430554389954,0.003438549382346017,912680,31.2451171875,5508,cuda:0,1
cnn1d,0,0,classification,630,315,8,0.4670224548317492,0.0008157710544764996,0.0025897493792904746,1074928,9.9462890625,932,cuda:0,1
cnn1d,1,1,classification,630,315,8,0.4642856842838228,0.000807963777333498,0.0025649643724872957,1074944,9.9462890625,932,cuda:0,1
cnn1d,2,2,classification,630,315,8,0.47570198494940996,0.0008451393805444241,0.0026829821604584894,1074964,9.9462890625,932,cuda:0,1
tcn,0,0,classification,630,315,8,0.657976359128952,0.000916370190680027,0.0029091117164445303,1086088,10.82861328125,1220,cuda:0,1
tcn,1,1,classification,630,315,8,0.654629304073751,0.0009494670666754246,0.0030141811640489666,1086168,10.82861328125,1220,cuda:0,1
tcn,2,2,classification,630,315,8,0.661322264932096,0.0010532108135521412,0.00334352639222902,1086312,10.82861328125,1220,cuda:0,1
