dataset,model,task,decision_metric,direction,n_ok,mean,std,ci95_low,ci95_high,n_clusters,status,secondary_balanced_accuracy_mean,secondary_balanced_accuracy_n,secondary_auroc_mean,secondary_auroc_n,secondary_accuracy_mean,secondary_accuracy_n,secondary_rmse_mean,secondary_rmse_n,secondary_r2_mean,secondary_r2_n
d2_beef_uncontrolled,cnn1d,classification,macro_f1,maximize,50,0.4451680735377968,0.2342003297381977,0.3817023786324107,0.5094325761114287,5,ok,0.5176910837149967,50.0,0.7556064041982197,50.0,0.527020979020979,50.0,,,,
d2_beef_uncontrolled,cnn1d,regression,mae,minimize,50,1.6921253230786137,1.7810818829114874,1.2384085783723253,2.2072938126413213,5,ok,,,,,,,1.8535386078147476,50.0,-7.410574003082563,50.0
d2_beef_uncontrolled,esn,classification,macro_f1,maximize,50,0.23387463144808812,0.1460749132858575,0.19546497532100035,0.27392407671937774,5,ok,0.29518549894650437,50.0,0.5376420937420126,50.0,0.3178648018648018,50.0,,,,
d2_beef_uncontrolled,esn,regression,mae,minimize,50,2.9178905933669337,3.0799993080235115,2.1552326738621703,3.854510822152882,5,ok,,,,,,,3.4526697582340393,50.0,-25.98856351296138,50.0
d2_beef_uncontrolled,gru,classification,macro_f1,maximize,50,0.45183519771113845,0.20868326243408206,0.39650595826942026,0.5103907038088731,5,ok,0.5381313528661356,50.0,0.8130453952429941,50.0,0.5171748251748252,50.0,,,,
d2_beef_uncontrolled,gru,regression,mae,minimize,50,1.0115145593932107,1.0781291140364448,0.7346934672095593,1.316881676265629,5,ok,,,,,,,1.1664664492505301,50.0,-2.226560534624622,50.0
d2_beef_uncontrolled,lstm,classification,macro_f1,maximize,50,0.46810824441327525,0.19866194753253485,0.41519718833079744,0.52202492451222,5,ok,0.552058584290106,50.0,0.8067708532472002,50.0,0.5360559440559441,50.0,,,,
d2_beef_uncontrolled,lstm,regression,mae,minimize,50,1.1338942568028298,1.1931854431360553,0.8175841338171964,1.469549676129275,5,ok,,,,,,,1.3022920664436157,50.0,-2.9917131021597343,50.0
d2_beef_uncontrolled,pca_svm,classification,macro_f1,maximize,50,0.419200970059948,0.26650242654061324,0.3455355919791614,0.4908177047067623,5,ok,0.50824601658406,50.0,0.8230222446333012,50.0,0.4784988344988345,50.0,,,,
d2_beef_uncontrolled,pca_svm,regression,mae,minimize,50,0.7233525009076522,0.36669432349500813,0.6205993948306615,0.8225890223204243,5,ok,,,,,,,0.8386293682005613,50.0,-0.10425698405264679,50.0
d2_beef_uncontrolled,random_forest,classification,macro_f1,maximize,50,0.5309564299926426,0.13683437465466813,0.494394232758367,0.5691978459641113,5,ok,0.5551493401928184,50.0,0.8628828972360302,50.0,0.5545174825174825,50.0,,,,
d2_beef_uncontrolled,random_forest,regression,mae,minimize,50,0.3809900158851648,0.19916233571839098,0.32797379827477463,0.43636456888280256,5,ok,,,,,,,0.5515569284496149,50.0,0.5513092548854529,50.0
d2_beef_uncontrolled,svm_rbf,classification,macro_f1,maximize,50,0.39528789655714924,0.2681487389882643,0.3210962963973978,0.4678023516146171,5,ok,0.49062259552042164,50.0,0.8427324007434494,50.0,0.45930069930069933,50.0,,,,
d2_beef_uncontrolled,svm_rbf,regression,mae,minimize,50,0.655340847741169,0.36728281749905284,0.5560138583720556,0.7539669841942214,5,ok,,,,,,,0.7704836637039282,50.0,0.03655774992479337,50.0
d2_beef_uncontrolled,tcn,classification,macro_f1,maximize,50,0.44512509588699695,0.23068504960433167,0.3836936653669835,0.5075988243710132,5,ok,0.5139886818495514,50.0,0.7558012315907641,50.0,0.5294265734265734,50.0,,,,
d2_beef_uncontrolled,tcn,regression,mae,minimize,50,1.6257369041193346,1.5230761977721219,1.2272853812028364,2.0566408642728327,5,ok,,,,,,,1.7863995153736911,50.0,-6.130147912732021,50.0
d2_beef_uncontrolled,xgboost,classification,macro_f1,maximize,50,0.5853490261311938,0.12565801533716298,0.5501244552224156,0.618721301298232,5,ok,0.6104094484571386,50.0,0.8562259098893438,50.0,0.6217342657342657,50.0,,,,
d2_beef_uncontrolled,xgboost,regression,mae,minimize,50,0.3916949027498209,0.2116152434085902,0.3352730089678649,0.4513095596760767,5,ok,,,,,,,0.5573193382163513,50.0,0.5373524699718558,50.0
