contrast_id,metric,dataset,task,status,note,first_code,second_code,first_resolved,second_resolved,family
R0_vs_R2,macro_f1,d3_rainbow_trout,classification,unpairable,"no common scored (seed, fold_id, window_length) unit between R0 (resolved to 'R0') and R2 (resolved to 'R2')",R0,R2,R0,R2,
R0_vs_R2,mae,d3_rainbow_trout,regression,unpairable,"no common scored (seed, fold_id, window_length) unit between R0 (resolved to 'R0') and R2 (resolved to 'R2')",R0,R2,R0,R2,
R0_vs_R4,macro_f1,d3_rainbow_trout,classification,unpairable,"no common scored (seed, fold_id, window_length) unit between R0 (resolved to 'R0') and R4 (resolved to 'esn')",R0,R4,R0,esn,
R0_vs_R4,mae,d3_rainbow_trout,regression,unpairable,"no common scored (seed, fold_id, window_length) unit between R0 (resolved to 'R0') and R4 (resolved to 'esn')",R0,R4,R0,esn,
R0_vs_R3,macro_f1,d3_rainbow_trout,classification,unpairable,"no common scored (seed, fold_id, window_length) unit between R0 (resolved to 'R0') and R3 (resolved to 'R3')",R0,R3,R0,R3,
R0_vs_R3,mae,d3_rainbow_trout,regression,unpairable,"no common scored (seed, fold_id, window_length) unit between R0 (resolved to 'R0') and R3 (resolved to 'R3')",R0,R3,R0,R3,
R0_vs_GRU,macro_f1,d3_rainbow_trout,classification,unpairable,"no common scored (seed, fold_id, window_length) unit between R0 (resolved to 'R0') and GRU (resolved to 'gru')",R0,GRU,R0,gru,
R0_vs_GRU,mae,d3_rainbow_trout,regression,unpairable,"no common scored (seed, fold_id, window_length) unit between R0 (resolved to 'R0') and GRU (resolved to 'gru')",R0,GRU,R0,gru,
R0_vs_R5,macro_f1,d3_rainbow_trout,classification,unpairable,"no common scored (seed, fold_id, window_length) unit between R0 (resolved to 'R0') and R5 (resolved to 'R5')",R0,R5,R0,R5,
R0_vs_R5,mae,d3_rainbow_trout,regression,unpairable,"no common scored (seed, fold_id, window_length) unit between R0 (resolved to 'R0') and R5 (resolved to 'R5')",R0,R5,R0,R5,
R0_vs_R1,macro_f1,d3_rainbow_trout,classification,unpairable,"no common scored (seed, fold_id, window_length) unit between R0 (resolved to 'R0') and R1 (resolved to 'R1')",R0,R1,R0,R1,
R0_vs_R1,mae,d3_rainbow_trout,regression,unpairable,"no common scored (seed, fold_id, window_length) unit between R0 (resolved to 'R0') and R1 (resolved to 'R1')",R0,R1,R0,R1,
