experiment,dataset,model,task,window_length,protocol_version,evidence_class,protocol_compliant,status,cpu_seconds_mean,cpu_seconds_std,accuracy_mean,accuracy_std,auroc_mean,auroc_std,auroc_n_classes_scored_mean,auroc_n_classes_scored_std,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,mae_mean,mae_std,r2_mean,r2_std,rmse_mean,rmse_std,n_seeds,n_runs,n_specimen_evaluations,n_distinct_specimens,n_auroc_defined,mean_duration_s,mean_cpu_seconds
e2_main_d2,d2_beef_uncontrolled,R0,classification,16,1.4.0,real,True,ok,5.0526677999999645,0.18786310616689755,0.3598321678321678,0.19889623394070535,0.5778439134678376,0.13554224724384986,4.0,0.0,0.3158659769276617,0.1518358422278946,0.2647176685242362,0.15627965813337177,,,,,,,5,25,25,5,25,2.6161122188344597,5.0526677999999645
e2_main_d2,d2_beef_uncontrolled,R0,regression,16,1.4.0,real,True,ok,6.227330240000043,0.6290023732141561,,,,,,,,,,,1.879771818418943,2.077056125328182,-11.751738063451757,19.893543689218678,2.1623905759602846,2.2696023809621075,5,25,25,5,0,2.281597051359713,6.227330240000043
e2_main_d2,d2_beef_uncontrolled,R1,classification,16,1.4.0,real,True,ok,5.668998799999969,0.17842067057241381,0.3787599067599068,0.19658219838755087,0.5870354487921902,0.11938118530161929,4.0,0.0,0.33175461028504505,0.1443813300678844,0.27843232846741883,0.14891046531782878,,,,,,,5,25,25,5,25,2.6413111224584283,5.668998799999969
e2_main_d2,d2_beef_uncontrolled,R1,regression,16,1.4.0,real,True,ok,8.720276360000028,0.7977376321368626,,,,,,,,,,,2.058082089952639,2.3856562485407315,-14.817745061575685,25.778766313391362,2.3417817807792605,2.591536239837643,5,25,25,5,0,2.2787108758091925,8.720276360000028
e2_main_d2,d2_beef_uncontrolled,R2,classification,16,1.4.0,real,True,ok,5.561943120000024,0.15994111721147136,0.3742470862470863,0.19106444113926177,0.5843705418955409,0.12692111904118636,4.0,0.0,0.32176192358366273,0.1527879176937551,0.27378498722855693,0.15584246754287204,,,,,,,5,25,25,5,25,2.496610430441797,5.561943120000024
e2_main_d2,d2_beef_uncontrolled,R2,regression,16,1.4.0,real,True,ok,8.750082079999991,0.7612754962063354,,,,,,,,,,,2.064419266453505,2.3073277916417076,-13.826727902914389,23.400541464143902,2.333890325973561,2.4505155025871654,5,25,25,5,0,2.2070721800252797,8.750082079999991
e2_main_d2,d2_beef_uncontrolled,R3,classification,16,1.4.0,real,True,ok,5.538125960000025,0.20522946402027112,0.3684848484848485,0.17835971175470583,0.5873446987445078,0.1274368768618848,4.0,0.0,0.3219134548120961,0.13049159096026114,0.25001537798666484,0.1484118035341347,,,,,,,5,25,25,5,25,2.5108607901632785,5.538125960000025
e2_main_d2,d2_beef_uncontrolled,R3,regression,16,1.4.0,real,True,ok,8.488515760000034,0.9677741113041705,,,,,,,,,,,1.7517694100111583,2.1860777133680864,-10.984025622166158,23.78495155664263,2.0240419128617395,2.316270546809743,5,25,25,5,0,2.2483483098261057,8.488515760000034
e2_main_d2,d2_beef_uncontrolled,R4,classification,16,1.4.0,real,True,ok,6.093585800000033,0.15607162913199363,0.3920745920745921,0.17064062190901255,0.5815952041977339,0.1309901080133072,4.0,0.0,0.3347108185896229,0.12448219045474908,0.27425293784419885,0.13433807369071196,,,,,,,5,25,25,5,25,3.0404830514080823,6.093585800000033
e2_main_d2,d2_beef_uncontrolled,R4,regression,16,1.4.0,real,True,ok,9.287667759999989,0.8281002789564011,,,,,,,,,,,1.6476119361320434,1.8854469091576709,-9.617954151672334,22.767722217602664,1.9411180085227782,2.0665797134196153,5,25,25,5,0,2.6564669456891714,9.287667759999989
e2_main_d2,d2_beef_uncontrolled,R5,classification,16,1.4.0,real,True,ok,5.553445200000012,0.22232026024894877,0.37365034965034966,0.18087226897843423,0.5881696361095732,0.11998090634313369,4.0,0.0,0.3250388743804505,0.14175292742994666,0.2680554788193204,0.1488762916152546,,,,,,,5,25,25,5,25,2.6322716042399406,5.553445200000012
e2_main_d2,d2_beef_uncontrolled,R5,regression,16,1.4.0,real,True,ok,8.706953240000002,0.7774296362583238,,,,,,,,,,,2.023936018432307,2.4765676931286853,-13.958712645473783,28.41007283495597,2.278676955888308,2.6076669095214355,5,25,25,5,0,2.17453408902511,8.706953240000002
e2_main_d2,d2_beef_uncontrolled,R6,classification,16,1.4.0,real,True,ok,12.539058159999986,0.36065524201799243,0.38431701631701637,0.20604042766330788,0.591730914858755,0.13978564845935887,4.0,0.0,0.33116123149193805,0.15944392981685163,0.2717187392697098,0.15979782169723683,,,,,,,5,25,25,5,25,10.471004251725972,12.539058159999986
e2_main_d2,d2_beef_uncontrolled,R6,regression,16,1.4.0,real,True,ok,14.308965400000025,0.859445174973421,,,,,,,,,,,2.015865587470822,2.3375495442663725,-15.152745007897682,28.97004137840865,2.3335187954760683,2.5717953498832884,5,25,25,5,0,7.922652334682644,14.308965400000025
