contrast_id,metric,dataset,task,first,second,n_pairs,n_clusters,n_clusters_nonzero,n_seeds,status,delta,delta_ci_low,delta_ci_high,p_value,p_paired_wilcoxon,effect_size,effect_size_name,minimum_achievable_p_over_clusters,family,p_holm,first_code,second_code,first_resolved,second_resolved,note
R0_vs_R2,macro_f1,d3_rainbow_trout,classification,R0,R2,620.0,62.0,39.0,10.0,ok,-0.00010093259424218198,-0.0006874679652672044,0.0004892344718916415,0.10812902140605732,0.7980937953829783,0.04156862745098039,rank_biserial,3.637978807091713e-12,F_primary,0.10812902140605732,R0,R2,R0,R2,
R0_vs_R2,mae,d3_rainbow_trout,regression,R0,R2,620.0,62.0,62.0,10.0,ok,-0.00021497683121099838,-0.0007925851850428392,0.00036668963308304986,0.7035366713552733,0.7298185510605892,5.22438368335959e-05,hodges_lehmann,4.336808689942018e-19,F_primary,0.7035366713552733,R0,R2,R0,R2,
R0_vs_R4,macro_f1,d3_rainbow_trout,classification,R0,R4,620.0,62.0,42.0,10.0,ok,-0.0004344373083240673,-0.0013821080314278355,0.00042214398589093653,0.8776143287523154,0.9814688887952131,0.0035067212156633548,rank_biserial,4.547473508864641e-13,F_secondary_topology,1.0,R0,R4,R0,R4,
R0_vs_R4,mae,d3_rainbow_trout,regression,R0,R4,620.0,62.0,62.0,10.0,ok,-0.000118764233959141,-0.0008896893163105325,0.0006563942110643077,0.7035366713552733,0.7148774223189345,9.902802186814372e-05,hodges_lehmann,4.336808689942018e-19,F_secondary_topology,1.0,R0,R4,R0,R4,
R0_vs_R3,macro_f1,d3_rainbow_trout,classification,R0,R3,620.0,62.0,42.0,10.0,ok,-0.0011777981637113386,-0.002260695658342746,-0.0001974767645405602,0.04355852192384191,0.03225384450461224,-0.3260738052026618,rank_biserial,4.547473508864641e-13,F_secondary_topology,0.17423408769536763,R0,R3,R0,R3,
R0_vs_R3,mae,d3_rainbow_trout,regression,R0,R3,620.0,62.0,62.0,10.0,ok,-3.114018236534695e-05,-0.0007944453319257526,0.0006895661508403004,0.7035366713552733,0.042830345148385005,0.00054618583286682,hodges_lehmann,4.336808689942018e-19,F_secondary_topology,1.0,R0,R3,R0,R3,
R0_vs_GRU,macro_f1,d3_rainbow_trout,classification,,,,,,,unpairable,,,,,,,,,,,R0,GRU,R0,GRU,"no common scored (seed, fold_id, window_length) unit between R0 (resolved to 'R0') and GRU (resolved to 'GRU')"
R0_vs_GRU,mae,d3_rainbow_trout,regression,,,,,,,unpairable,,,,,,,,,,,R0,GRU,R0,GRU,"no common scored (seed, fold_id, window_length) unit between R0 (resolved to 'R0') and GRU (resolved to 'GRU')"
R0_vs_R5,macro_f1,d3_rainbow_trout,classification,R0,R5,620.0,62.0,40.0,10.0,ok,-0.0005483811954852734,-0.0015065115382416098,0.00033018249980820534,0.8746293123804207,0.8439069872803064,0.03051948051948052,rank_biserial,1.8189894035458565e-12,F_secondary_topology,1.0,R0,R5,R0,R5,
R0_vs_R5,mae,d3_rainbow_trout,regression,R0,R5,620.0,62.0,62.0,10.0,ok,0.00027692020608483767,-0.0004660865301376226,0.0010204298314935801,0.09795444051950736,0.08040345044515565,0.00042525101107515097,hodges_lehmann,4.336808689942018e-19,F_secondary_topology,0.2938633215585221,R0,R5,R0,R5,
R0_vs_R1,macro_f1,d3_rainbow_trout,classification,R0,R1,620.0,62.0,36.0,10.0,ok,3.762558671295412e-05,-0.0004296672072789062,0.0005667194201956783,0.617719317029696,0.893928380227788,-0.022108843537414966,rank_biserial,2.9103830456733704e-11,F_secondary_topology,1.0,R0,R1,R0,R1,
R0_vs_R1,mae,d3_rainbow_trout,regression,R0,R1,620.0,62.0,62.0,10.0,ok,0.0004024605002217247,-0.0003424902364340099,0.0010246532737054406,0.030015864349067285,0.15566826397080072,0.0002922749604392927,hodges_lehmann,4.336808689942018e-19,F_secondary_topology,0.12006345739626914,R0,R1,R0,R1,
