contrast_id,dataset,task,metric,first,second,seed,fold_id,window_length,a,b,delta
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,0,0,16,0.5,0.5,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,0,1,16,0.75,0.75,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,0,2,16,0.5,0.5,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,0,3,16,0.25,0.25,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,0,4,16,0.75,0.75,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,0,5,16,0.5,0.5,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,0,6,16,0.5,0.5,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,0,7,16,0.75,0.75,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,0,8,16,0.5,0.5,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,0,9,16,0.5,0.5,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,0,10,16,0.25,0.25,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,0,11,16,0.7165178571428572,0.7141025641025641,0.0024152930402930872
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,0,12,16,0.25,0.25,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,0,13,16,0.7394323671497585,0.7411739983188568,-0.0017416311690983122
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,0,14,16,0.62421269562939,0.625741076830006,-0.0015283812006160469
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,0,15,16,0.5,0.5,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,0,16,16,0.75,0.75,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,0,17,16,1.0,1.0,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,0,18,16,0.75,0.75,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,0,19,16,0.75,0.75,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,0,20,16,0.25,0.25,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,0,21,16,0.75,0.75,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,0,22,16,0.5,0.5,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,0,23,16,0.75,0.75,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,0,24,16,0.75,0.75,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,0,25,16,0.75,0.75,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,0,26,16,0.5,0.5,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,0,27,16,0.5271883289124668,0.5523006886590494,-0.025112359746582547
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,0,28,16,0.7290528233151183,0.7290528233151183,0.0
