experiment,dataset,model,task,window_length,protocol_version,evidence_class,protocol_compliant,status,cpu_seconds_mean,cpu_seconds_std,accuracy_mean,accuracy_std,auroc_mean,auroc_std,auroc_n_classes_scored_mean,auroc_n_classes_scored_std,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,mae_mean,mae_std,r2_mean,r2_std,rmse_mean,rmse_std,n_seeds,n_runs,n_specimen_evaluations,n_distinct_specimens,n_auroc_defined,mean_duration_s,mean_cpu_seconds
e9_size_d2_n4000,d2_beef_uncontrolled,R0,classification,16,1.4.0,real,True,ok,0.0,0.0,0.37025641025641026,0.17436159204247692,0.5385131949340273,0.10446721401468213,4.0,0.0,0.321711577472447,0.10292537667308652,0.2417501782346278,0.15737242952106495,,,,,,,1,5,5,5,5,21.4621979970485,0.0
e9_size_d2_n4000,d2_beef_uncontrolled,R0,regression,16,1.4.0,real,True,ok,0.0,0.0,,,,,,,,,,,6.2599296387416725,7.876719120835994,-128.0469506764411,198.78414015931014,6.646604716648094,8.079435292563103,1,5,5,5,0,16.32823214549571,0.0
e9_size_d2_n4000,d2_beef_uncontrolled,R1,classification,16,1.4.0,real,True,ok,0.0,0.0,0.35841491841491846,0.17416234877586237,0.5418277790089577,0.11729548276279778,4.0,0.0,0.3056600006273919,0.09721828900759578,0.21644097634127357,0.1330457972775902,,,,,,,1,5,5,5,5,21.26046002311632,0.0
e9_size_d2_n4000,d2_beef_uncontrolled,R1,regression,16,1.4.0,real,True,ok,0.0,0.0,,,,,,,,,,,6.546533050526191,8.246284244260735,-139.56602089205506,216.1978775160193,6.926462204841398,8.445743270422383,1,5,5,5,0,16.475119554344566,0.0
e9_size_d2_n4000,d2_beef_uncontrolled,R2,classification,16,1.4.0,real,True,ok,0.0,0.0,0.3591608391608392,0.17230115831363593,0.537422225448858,0.11076201459982009,4.0,0.0,0.3064030365769496,0.09654205006416758,0.22128148400340222,0.1347466720811827,,,,,,,1,5,5,5,5,20.125653515011074,0.0
e9_size_d2_n4000,d2_beef_uncontrolled,R2,regression,16,1.4.0,real,True,ok,0.0,0.0,,,,,,,,,,,6.454838122964809,8.101334009246692,-135.3450688882685,206.59971111012848,6.851222658207928,8.31274038324765,1,5,5,5,0,15.132451483700425,0.0
e9_size_d2_n4000,d2_beef_uncontrolled,R3,classification,16,1.4.0,real,True,ok,0.0,0.0,0.3572960372960373,0.17503409428282735,0.5589735106980351,0.12019974830700753,4.0,0.0,0.30253292761988415,0.0990181123121614,0.22067306218741783,0.131079499401875,,,,,,,1,5,5,5,5,20.78129750257358,0.0
e9_size_d2_n4000,d2_beef_uncontrolled,R3,regression,16,1.4.0,real,True,ok,0.0,0.0,,,,,,,,,,,6.355313641288924,7.84224734219608,-128.17793225451925,191.68193978727797,6.717857549254733,8.076358638591142,1,5,5,5,0,15.32651793686673,0.0
e9_size_d2_n4000,d2_beef_uncontrolled,R4,classification,16,1.4.0,real,True,ok,0.0,0.0,0.3737062937062937,0.16602713624767604,0.543842165347431,0.10125845509298301,4.0,0.0,0.31938149612062655,0.09086176209219528,0.23297427162008227,0.1338432422489611,,,,,,,1,5,5,5,5,202.7194899986498,0.0
e9_size_d2_n4000,d2_beef_uncontrolled,R4,regression,16,1.4.0,real,True,ok,0.0,0.0,,,,,,,,,,,6.42948654407188,8.068548382020788,-135.00141416011667,208.605430543403,6.819875799362412,8.305401365569887,1,5,5,5,0,160.26450328910724,0.0
e9_size_d2_n4000,d2_beef_uncontrolled,R5,classification,16,1.4.0,real,True,ok,0.0,0.0,0.35505827505827503,0.17443892062935845,0.5431220439079816,0.11888250541845453,4.0,0.0,0.3016102223058745,0.098287352191411,0.21527831727391566,0.13196646833120865,,,,,,,1,5,5,5,5,17.261915900930763,0.0
e9_size_d2_n4000,d2_beef_uncontrolled,R5,regression,16,1.4.0,real,True,ok,0.0,0.0,,,,,,,,,,,6.240458630805658,7.825157971894927,-126.66304890722604,191.2455599428231,6.638528275988402,8.054680237685636,1,5,5,5,0,13.256591197941452,0.0
e9_size_d2_n4000,d2_beef_uncontrolled,R6,classification,16,1.4.0,real,True,ok,0.0,0.0,0.3770629370629371,0.1626630147309285,0.5483583881122891,0.1048065160016802,4.0,0.0,0.32160189367798064,0.0883439871902442,0.234563324062512,0.1305189045407005,,,,,,,1,5,5,5,5,2016.8029259417206,0.0
e9_size_d2_n4000,d2_beef_uncontrolled,R6,regression,16,1.4.0,real,True,ok,0.0,0.0,,,,,,,,,,,7.008462162937559,8.769698932195947,-159.91228360220202,241.82138860273912,7.43345896465445,9.05635498690435,1,5,5,5,0,1614.0398892756552,0.0
