run_id,experiment,dataset,model,task,seed,fold_id,window_length,protocol_version,evidence_class,protocol_compliant,status,failure_reason,timestamp_utc,duration_s,n_train_windows,n_test_windows,n_train_specimens,n_test_specimens,n_train_sessions,n_test_sessions,fold_fingerprint,test_fingerprint,config_hash,empty_class_policy,class_coverage
synthetic_enose|cnn1d|classification|seed00|fold00,smoke,synthetic_enose,cnn1d,classification,0,0,16,1.1.0,synthetic_fixture,True,ok,,2026-09-20T08:06:28Z,0.02784420782700181,630,315,,,6,3,d0d7c0cfd2d1,998b744c85c94110,13238be68ef8,require_all_classes,"{""missing_in_test"": [], ""missing_in_train"": []}"
synthetic_enose|cnn1d|classification|seed01|fold00,smoke,synthetic_enose,cnn1d,classification,1,0,16,1.1.0,synthetic_fixture,True,ok,,2026-09-20T08:06:29Z,0.027800667099654675,630,315,,,6,3,53974c47dd0a,005dd9a21ec91b4f,13238be68ef8,require_all_classes,"{""missing_in_test"": [], ""missing_in_train"": []}"
synthetic_enose|cnn1d|regression|seed00|fold00,smoke,synthetic_enose,cnn1d,regression,0,0,16,1.1.0,synthetic_fixture,True,ok,,2026-09-20T08:06:28Z,0.024317708797752857,630,315,,,6,3,d0d7c0cfd2d1,cdad346272a0f4e4,13238be68ef8,require_all_classes,"{""missing_in_test"": [], ""missing_in_train"": []}"
synthetic_enose|cnn1d|regression|seed01|fold00,smoke,synthetic_enose,cnn1d,regression,1,0,16,1.1.0,synthetic_fixture,True,ok,,2026-09-20T08:06:29Z,0.024720582645386457,630,315,,,6,3,53974c47dd0a,e51d08e2f7dde2fa,13238be68ef8,require_all_classes,"{""missing_in_test"": [], ""missing_in_train"": []}"
synthetic_enose|esn|classification|seed00|fold00,smoke,synthetic_enose,esn,classification,0,0,16,1.1.0,synthetic_fixture,True,ok,,2026-09-20T08:06:28Z,0.10040991706773639,630,315,,,6,3,d0d7c0cfd2d1,0a58b01cf6ab5e70,13238be68ef8,require_all_classes,"{""missing_in_test"": [], ""missing_in_train"": []}"
synthetic_enose|esn|classification|seed01|fold00,smoke,synthetic_enose,esn,classification,1,0,16,1.1.0,synthetic_fixture,True,ok,,2026-09-20T08:06:29Z,0.09987525036558509,630,315,,,6,3,53974c47dd0a,1e3aa34d22513551,13238be68ef8,require_all_classes,"{""missing_in_test"": [], ""missing_in_train"": []}"
synthetic_enose|esn|regression|seed00|fold00,smoke,synthetic_enose,esn,regression,0,0,16,1.1.0,synthetic_fixture,True,ok,,2026-09-20T08:06:28Z,0.070978875271976,630,315,,,6,3,d0d7c0cfd2d1,80a74055d789f0e9,13238be68ef8,require_all_classes,"{""missing_in_test"": [], ""missing_in_train"": []}"
synthetic_enose|esn|regression|seed01|fold00,smoke,synthetic_enose,esn,regression,1,0,16,1.1.0,synthetic_fixture,True,ok,,2026-09-20T08:06:29Z,0.07229045918211341,630,315,,,6,3,53974c47dd0a,8318bb5148e22bfb,13238be68ef8,require_all_classes,"{""missing_in_test"": [], ""missing_in_train"": []}"
synthetic_enose|gru|classification|seed00|fold00,smoke,synthetic_enose,gru,classification,0,0,16,1.1.0,synthetic_fixture,True,ok,,2026-09-20T08:06:28Z,0.4862551670521498,630,315,,,6,3,d0d7c0cfd2d1,4be1ef88b48bcfe5,13238be68ef8,require_all_classes,"{""missing_in_test"": [], ""missing_in_train"": []}"
synthetic_enose|gru|classification|seed01|fold00,smoke,synthetic_enose,gru,classification,1,0,16,1.1.0,synthetic_fixture,True,ok,,2026-09-20T08:06:29Z,0.051805584225803614,630,315,,,6,3,53974c47dd0a,6251500bfc908daa,13238be68ef8,require_all_classes,"{""missing_in_test"": [], ""missing_in_train"": []}"
synthetic_enose|gru|regression|seed00|fold00,smoke,synthetic_enose,gru,regression,0,0,16,1.1.0,synthetic_fixture,True,ok,,2026-09-20T08:06:28Z,0.05208133440464735,630,315,,,6,3,d0d7c0cfd2d1,2231f6f1fe675db1,13238be68ef8,require_all_classes,"{""missing_in_test"": [], ""missing_in_train"": []}"
synthetic_enose|gru|regression|seed01|fold00,smoke,synthetic_enose,gru,regression,1,0,16,1.1.0,synthetic_fixture,True,ok,,2026-09-20T08:06:29Z,0.048302083276212215,630,315,,,6,3,53974c47dd0a,0559ad5a0f7dc675,13238be68ef8,require_all_classes,"{""missing_in_test"": [], ""missing_in_train"": []}"
synthetic_enose|lstm|classification|seed00|fold00,smoke,synthetic_enose,lstm,classification,0,0,16,1.1.0,synthetic_fixture,True,ok,,2026-09-20T08:06:28Z,0.05376337468624115,630,315,,,6,3,d0d7c0cfd2d1,69f24ac2e47f009c,13238be68ef8,require_all_classes,"{""missing_in_test"": [], ""missing_in_train"": []}"
synthetic_enose|lstm|classification|seed01|fold00,smoke,synthetic_enose,lstm,classification,1,0,16,1.1.0,synthetic_fixture,True,ok,,2026-09-20T08:06:29Z,0.052727042231708765,630,315,,,6,3,53974c47dd0a,c6abaee55f6a5904,13238be68ef8,require_all_classes,"{""missing_in_test"": [], ""missing_in_train"": []}"
synthetic_enose|lstm|regression|seed00|fold00,smoke,synthetic_enose,lstm,regression,0,0,16,1.1.0,synthetic_fixture,True,ok,,2026-09-20T08:06:28Z,0.050261666998267174,630,315,,,6,3,d0d7c0cfd2d1,c1696df3482f799a,13238be68ef8,require_all_classes,"{""missing_in_test"": [], ""missing_in_train"": []}"
synthetic_enose|lstm|regression|seed01|fold00,smoke,synthetic_enose,lstm,regression,1,0,16,1.1.0,synthetic_fixture,True,ok,,2026-09-20T08:06:29Z,0.04953987477347255,630,315,,,6,3,53974c47dd0a,eeb365bb9f58baf6,13238be68ef8,require_all_classes,"{""missing_in_test"": [], ""missing_in_train"": []}"
synthetic_enose|pca_svm|classification|seed00|fold00,smoke,synthetic_enose,pca_svm,classification,0,0,16,1.1.0,synthetic_fixture,True,ok,,2026-09-20T08:06:27Z,0.02489454112946987,630,315,,,6,3,d0d7c0cfd2d1,45999a41d0c4ce84,13238be68ef8,require_all_classes,"{""missing_in_test"": [], ""missing_in_train"": []}"
synthetic_enose|pca_svm|classification|seed01|fold00,smoke,synthetic_enose,pca_svm,classification,1,0,16,1.1.0,synthetic_fixture,True,ok,,2026-09-20T08:06:28Z,0.015788457822054625,630,315,,,6,3,53974c47dd0a,8dd61f7bda1c1f45,13238be68ef8,require_all_classes,"{""missing_in_test"": [], ""missing_in_train"": []}"
synthetic_enose|pca_svm|regression|seed00|fold00,smoke,synthetic_enose,pca_svm,regression,0,0,16,1.1.0,synthetic_fixture,True,ok,,2026-09-20T08:06:27Z,0.011428417172282934,630,315,,,6,3,d0d7c0cfd2d1,922af543b7e44987,13238be68ef8,require_all_classes,"{""missing_in_test"": [], ""missing_in_train"": []}"
synthetic_enose|pca_svm|regression|seed01|fold00,smoke,synthetic_enose,pca_svm,regression,1,0,16,1.1.0,synthetic_fixture,True,ok,,2026-09-20T08:06:28Z,0.010945875197649002,630,315,,,6,3,53974c47dd0a,27a88cbd78bc8d74,13238be68ef8,require_all_classes,"{""missing_in_test"": [], ""missing_in_train"": []}"
synthetic_enose|random_forest|classification|seed00|fold00,smoke,synthetic_enose,random_forest,classification,0,0,16,1.1.0,synthetic_fixture,True,ok,,2026-09-20T08:06:27Z,0.15303508285433054,630,315,,,6,3,d0d7c0cfd2d1,6971efd6b644c48b,13238be68ef8,require_all_classes,"{""missing_in_test"": [], ""missing_in_train"": []}"
synthetic_enose|random_forest|classification|seed01|fold00,smoke,synthetic_enose,random_forest,classification,1,0,16,1.1.0,synthetic_fixture,True,ok,,2026-09-20T08:06:28Z,0.056738417129963636,630,315,,,6,3,53974c47dd0a,44ce874116c8cd56,13238be68ef8,require_all_classes,"{""missing_in_test"": [], ""missing_in_train"": []}"
synthetic_enose|random_forest|regression|seed00|fold00,smoke,synthetic_enose,random_forest,regression,0,0,16,1.1.0,synthetic_fixture,True,ok,,2026-09-20T08:06:27Z,0.12179516674950719,630,315,,,6,3,d0d7c0cfd2d1,c9877549f41cfc26,13238be68ef8,require_all_classes,"{""missing_in_test"": [], ""missing_in_train"": []}"
synthetic_enose|random_forest|regression|seed01|fold00,smoke,synthetic_enose,random_forest,regression,1,0,16,1.1.0,synthetic_fixture,True,ok,,2026-09-20T08:06:28Z,0.10899637499824166,630,315,,,6,3,53974c47dd0a,4538f5cdd7d0ae13,13238be68ef8,require_all_classes,"{""missing_in_test"": [], ""missing_in_train"": []}"
synthetic_enose|svm_rbf|classification|seed00|fold00,smoke,synthetic_enose,svm_rbf,classification,0,0,16,1.1.0,synthetic_fixture,True,ok,,2026-09-20T08:06:27Z,0.07739679096266627,630,315,,,6,3,d0d7c0cfd2d1,47c7e68507e71459,13238be68ef8,require_all_classes,"{""missing_in_test"": [], ""missing_in_train"": []}"
synthetic_enose|svm_rbf|classification|seed01|fold00,smoke,synthetic_enose,svm_rbf,classification,1,0,16,1.1.0,synthetic_fixture,True,ok,,2026-09-20T08:06:28Z,0.027407874818891287,630,315,,,6,3,53974c47dd0a,fa4037eb68cbc07b,13238be68ef8,require_all_classes,"{""missing_in_test"": [], ""missing_in_train"": []}"
synthetic_enose|svm_rbf|regression|seed00|fold00,smoke,synthetic_enose,svm_rbf,regression,0,0,16,1.1.0,synthetic_fixture,True,ok,,2026-09-20T08:06:27Z,0.020413583144545555,630,315,,,6,3,d0d7c0cfd2d1,e4145a9546546d9c,13238be68ef8,require_all_classes,"{""missing_in_test"": [], ""missing_in_train"": []}"
synthetic_enose|svm_rbf|regression|seed01|fold00,smoke,synthetic_enose,svm_rbf,regression,1,0,16,1.1.0,synthetic_fixture,True,ok,,2026-09-20T08:06:28Z,0.019582500215619802,630,315,,,6,3,53974c47dd0a,eba1c566c5e22397,13238be68ef8,require_all_classes,"{""missing_in_test"": [], ""missing_in_train"": []}"
