experiment,dataset,model,task,window_length,protocol_version,evidence_class,protocol_compliant,status,accuracy_mean,accuracy_std,auroc_mean,auroc_std,auroc_n_classes_scored_mean,auroc_n_classes_scored_std,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,mae_mean,mae_std,r2_mean,r2_std,rmse_mean,rmse_std,n_seeds,n_runs,n_specimen_evaluations,n_distinct_specimens,n_auroc_defined,mean_duration_s
smoke,synthetic_enose,cnn1d,classification,16,1.1.0,synthetic_fixture,True,ok,0.3412698412698413,0.10101525445522105,0.6112907840189241,0.060958937337750055,4.0,0.0,0.228321146894512,0.030658528078475227,0.14549910285748252,0.055506613572028365,,,,,,,2,2,6,6,2,0.027822437463328242
smoke,synthetic_enose,cnn1d,regression,16,1.1.0,synthetic_fixture,True,ok,,,,,,,,,,,4.672027021252994,0.3562178939553424,-6.847996562545594,2.095193525618453,5.082579723463635,0.21698546484046566,2,2,6,6,0,0.024519145721569657
smoke,synthetic_enose,esn,classification,16,1.1.0,synthetic_fixture,True,ok,0.30317460317460315,0.2985561965009867,0.6127769326276196,0.050844909936843284,4.0,0.0,0.3027990797546012,0.09234684419943942,0.1803356295496255,0.15362853035005927,,,,,,,2,2,6,6,2,0.10014258371666074
smoke,synthetic_enose,esn,regression,16,1.1.0,synthetic_fixture,True,ok,,,,,,,,,,,8.325326637546148,3.020350691930489,-25.438791335753216,19.09734639022984,8.929976925590825,2.6927140486479813,2,2,6,6,0,0.0716346672270447
smoke,synthetic_enose,gru,classification,16,1.1.0,synthetic_fixture,True,ok,0.5428571428571429,0.03591653491741185,0.45280724458456634,0.1926052073571156,4.0,0.0,0.25,0.0,0.17583809055951755,0.007546241460666492,,,,,,,2,2,6,6,2,0.2690303756389767
smoke,synthetic_enose,gru,regression,16,1.1.0,synthetic_fixture,True,ok,,,,,,,,,,,4.287406770254958,0.15702664271756026,-5.575332424832579,1.4136171003448699,4.665460581664799,0.0743284338337612,2,2,6,6,0,0.05019170884042978
smoke,synthetic_enose,lstm,classification,16,1.1.0,synthetic_fixture,True,ok,0.5428571428571429,0.03591653491741185,0.5313749625485064,0.11917526139917832,4.0,0.0,0.25,0.0,0.17583809055951755,0.007546241460666492,,,,,,,2,2,6,6,2,0.05324520845897496
smoke,synthetic_enose,lstm,regression,16,1.1.0,synthetic_fixture,True,ok,,,,,,,,,,,4.646548702209788,0.08359671772861464,-6.511920825420211,0.9948321681853789,5.005404698333322,0.13007534160715095,2,2,6,6,0,0.04990077088586986
smoke,synthetic_enose,pca_svm,classification,16,1.1.0,synthetic_fixture,True,ok,0.553968253968254,0.10101525445522108,0.5709834032772025,0.09098881308588029,4.0,0.0,0.35693171646079,0.09170810741581127,0.29869111512723734,0.0701293022523051,,,,,,,2,2,6,6,2,0.020341499475762248
smoke,synthetic_enose,pca_svm,regression,16,1.1.0,synthetic_fixture,True,ok,,,,,,,,,,,2.86054984218357,0.48878612702545315,-2.399681783373236,0.28235052090024193,3.3863873781477825,0.4523396835351612,2,2,6,6,0,0.011187146184965968
smoke,synthetic_enose,random_forest,classification,16,1.1.0,synthetic_fixture,True,ok,0.4301587301587302,0.1683587574253685,0.5409883867239873,0.13423341192864896,4.0,0.0,0.304953650754609,0.04150440381115024,0.28696146578115556,0.011604671317419279,,,,,,,2,2,6,6,2,0.10488674999214709
smoke,synthetic_enose,random_forest,regression,16,1.1.0,synthetic_fixture,True,ok,,,,,,,,,,,1.9194966944254506,0.5097520017259836,-0.8508261060933413,1.0420277324057532,2.4097206626983345,0.4919081623235204,2,2,6,6,0,0.11539577087387443
smoke,synthetic_enose,svm_rbf,classification,16,1.1.0,synthetic_fixture,True,ok,0.5698412698412698,0.12346308877860351,0.6132289847002851,0.057839204804215276,4.0,0.0,0.36460042811723176,0.10255330344627982,0.3072073470326266,0.08157301473523022,,,,,,,2,2,6,6,2,0.05240233289077878
smoke,synthetic_enose,svm_rbf,regression,16,1.1.0,synthetic_fixture,True,ok,,,,,,,,,,,2.432087710557326,0.299899370213345,-1.5056908790758383,0.043350759215610796,2.9017185312028246,0.2427366581754697,2,2,6,6,0,0.01999804168008268
smoke,synthetic_enose,tcn,classification,16,1.1.0,synthetic_fixture,True,ok,0.4634920634920635,0.07632263669950042,0.5859409719597194,0.030481866809298274,4.0,0.0,0.24420391061452515,0.008196908217665272,0.18113350325407365,0.015035085911670394,,,,,,,2,2,6,6,2,0.09975531254895031
smoke,synthetic_enose,tcn,regression,16,1.1.0,synthetic_fixture,True,ok,,,,,,,,,,,3.295287290563115,0.16558840033545297,-3.307333676162342,0.2747266749769758,3.7995049721713694,0.2296888255702316,2,2,6,6,0,0.09319441649131477
