run_id,test_fingerprint,config_hash,dataset,model,task,seed,fold_id
STUB_e1_main_d3_R0_classification_seed00_fold00,stub_fp_000,stub_ch0,d3_rainbow_trout,R0,classification,0,0
STUB_e1_main_d3_R0_classification_seed00_fold01,stub_fp_001,stub_ch1,d3_rainbow_trout,R0,classification,0,1
STUB_e1_main_d3_R0_classification_seed00_fold02,stub_fp_002,stub_ch2,d3_rainbow_trout,R0,classification,0,2
STUB_e1_main_d3_R0_classification_seed00_fold03,stub_fp_003,stub_ch3,d3_rainbow_trout,R0,classification,0,3
STUB_e1_main_d3_R0_classification_seed00_fold04,stub_fp_004,stub_ch0,d3_rainbow_trout,R0,classification,0,4
STUB_e1_main_d3_R0_classification_seed01_fold00,stub_fp_005,stub_ch1,d3_rainbow_trout,R0,classification,1,0
STUB_e1_main_d3_R0_classification_seed01_fold01,stub_fp_006,stub_ch2,d3_rainbow_trout,R0,classification,1,1
STUB_e1_main_d3_R0_classification_seed01_fold02,stub_fp_007,stub_ch3,d3_rainbow_trout,R0,classification,1,2
STUB_e1_main_d3_R0_classification_seed01_fold03,stub_fp_008,stub_ch0,d3_rainbow_trout,R0,classification,1,3
STUB_e1_main_d3_R0_classification_seed01_fold04,stub_fp_009,stub_ch1,d3_rainbow_trout,R0,classification,1,4
STUB_e1_main_d3_R0_regression_seed00_fold00,stub_fp_010,stub_ch2,d3_rainbow_trout,R0,regression,0,0
STUB_e1_main_d3_R0_regression_seed00_fold01,stub_fp_011,stub_ch3,d3_rainbow_trout,R0,regression,0,1
STUB_e1_main_d3_R0_regression_seed00_fold02,stub_fp_012,stub_ch0,d3_rainbow_trout,R0,regression,0,2
STUB_e1_main_d3_R0_regression_seed00_fold03,stub_fp_013,stub_ch1,d3_rainbow_trout,R0,regression,0,3
STUB_e1_main_d3_R0_regression_seed00_fold04,stub_fp_014,stub_ch2,d3_rainbow_trout,R0,regression,0,4
STUB_e1_main_d3_R0_regression_seed01_fold00,stub_fp_015,stub_ch3,d3_rainbow_trout,R0,regression,1,0
STUB_e1_main_d3_R0_regression_seed01_fold01,stub_fp_016,stub_ch0,d3_rainbow_trout,R0,regression,1,1
STUB_e1_main_d3_R0_regression_seed01_fold02,stub_fp_017,stub_ch1,d3_rainbow_trout,R0,regression,1,2
STUB_e1_main_d3_R0_regression_seed01_fold03,stub_fp_018,stub_ch2,d3_rainbow_trout,R0,regression,1,3
STUB_e1_main_d3_R0_regression_seed01_fold04,stub_fp_019,stub_ch3,d3_rainbow_trout,R0,regression,1,4
STUB_e1_main_d3_R2_classification_seed00_fold00,stub_fp_020,stub_ch0,d3_rainbow_trout,R2,classification,0,0
STUB_e1_main_d3_R2_classification_seed00_fold01,stub_fp_021,stub_ch1,d3_rainbow_trout,R2,classification,0,1
STUB_e1_main_d3_R2_classification_seed00_fold02,stub_fp_022,stub_ch2,d3_rainbow_trout,R2,classification,0,2
STUB_e1_main_d3_R2_classification_seed00_fold03,stub_fp_023,stub_ch3,d3_rainbow_trout,R2,classification,0,3
STUB_e1_main_d3_R2_classification_seed00_fold04,stub_fp_024,stub_ch0,d3_rainbow_trout,R2,classification,0,4
STUB_e1_main_d3_R2_classification_seed01_fold00,stub_fp_025,stub_ch1,d3_rainbow_trout,R2,classification,1,0
STUB_e1_main_d3_R2_classification_seed01_fold01,stub_fp_026,stub_ch2,d3_rainbow_trout,R2,classification,1,1
STUB_e1_main_d3_R2_classification_seed01_fold02,stub_fp_027,stub_ch3,d3_rainbow_trout,R2,classification,1,2
STUB_e1_main_d3_R2_classification_seed01_fold03,stub_fp_028,stub_ch0,d3_rainbow_trout,R2,classification,1,3
STUB_e1_main_d3_R2_classification_seed01_fold04,stub_fp_029,stub_ch1,d3_rainbow_trout,R2,classification,1,4
STUB_e1_main_d3_R2_regression_seed00_fold00,stub_fp_030,stub_ch2,d3_rainbow_trout,R2,regression,0,0
STUB_e1_main_d3_R2_regression_seed00_fold01,stub_fp_031,stub_ch3,d3_rainbow_trout,R2,regression,0,1
STUB_e1_main_d3_R2_regression_seed00_fold02,stub_fp_032,stub_ch0,d3_rainbow_trout,R2,regression,0,2
STUB_e1_main_d3_R2_regression_seed00_fold03,stub_fp_033,stub_ch1,d3_rainbow_trout,R2,regression,0,3
STUB_e1_main_d3_R2_regression_seed00_fold04,stub_fp_034,stub_ch2,d3_rainbow_trout,R2,regression,0,4
STUB_e1_main_d3_R2_regression_seed01_fold00,stub_fp_035,stub_ch3,d3_rainbow_trout,R2,regression,1,0
STUB_e1_main_d3_R2_regression_seed01_fold01,stub_fp_036,stub_ch0,d3_rainbow_trout,R2,regression,1,1
STUB_e1_main_d3_R2_regression_seed01_fold02,stub_fp_037,stub_ch1,d3_rainbow_trout,R2,regression,1,2
STUB_e1_main_d3_R2_regression_seed01_fold03,stub_fp_038,stub_ch2,d3_rainbow_trout,R2,regression,1,3
STUB_e1_main_d3_R2_regression_seed01_fold04,stub_fp_039,stub_ch3,d3_rainbow_trout,R2,regression,1,4
STUB_e1_main_d3_esn_classification_seed00_fold00,stub_fp_040,stub_ch0,d3_rainbow_trout,esn,classification,0,0
STUB_e1_main_d3_esn_classification_seed00_fold01,stub_fp_041,stub_ch1,d3_rainbow_trout,esn,classification,0,1
STUB_e1_main_d3_esn_classification_seed00_fold02,stub_fp_042,stub_ch2,d3_rainbow_trout,esn,classification,0,2
STUB_e1_main_d3_esn_classification_seed00_fold03,stub_fp_043,stub_ch3,d3_rainbow_trout,esn,classification,0,3
STUB_e1_main_d3_esn_classification_seed00_fold04,stub_fp_044,stub_ch0,d3_rainbow_trout,esn,classification,0,4
STUB_e1_main_d3_esn_classification_seed01_fold00,stub_fp_045,stub_ch1,d3_rainbow_trout,esn,classification,1,0
STUB_e1_main_d3_esn_classification_seed01_fold01,stub_fp_046,stub_ch2,d3_rainbow_trout,esn,classification,1,1
STUB_e1_main_d3_esn_classification_seed01_fold02,stub_fp_047,stub_ch3,d3_rainbow_trout,esn,classification,1,2
STUB_e1_main_d3_esn_classification_seed01_fold03,stub_fp_048,stub_ch0,d3_rainbow_trout,esn,classification,1,3
STUB_e1_main_d3_esn_classification_seed01_fold04,stub_fp_049,stub_ch1,d3_rainbow_trout,esn,classification,1,4
STUB_e1_main_d3_esn_regression_seed00_fold00,stub_fp_050,stub_ch2,d3_rainbow_trout,esn,regression,0,0
STUB_e1_main_d3_esn_regression_seed00_fold01,stub_fp_051,stub_ch3,d3_rainbow_trout,esn,regression,0,1
STUB_e1_main_d3_esn_regression_seed00_fold02,stub_fp_052,stub_ch0,d3_rainbow_trout,esn,regression,0,2
STUB_e1_main_d3_esn_regression_seed00_fold03,stub_fp_053,stub_ch1,d3_rainbow_trout,esn,regression,0,3
STUB_e1_main_d3_esn_regression_seed00_fold04,stub_fp_054,stub_ch2,d3_rainbow_trout,esn,regression,0,4
STUB_e1_main_d3_esn_regression_seed01_fold00,stub_fp_055,stub_ch3,d3_rainbow_trout,esn,regression,1,0
STUB_e1_main_d3_esn_regression_seed01_fold01,stub_fp_056,stub_ch0,d3_rainbow_trout,esn,regression,1,1
STUB_e1_main_d3_esn_regression_seed01_fold02,stub_fp_057,stub_ch1,d3_rainbow_trout,esn,regression,1,2
STUB_e1_main_d3_esn_regression_seed01_fold03,stub_fp_058,stub_ch2,d3_rainbow_trout,esn,regression,1,3
STUB_e1_main_d3_esn_regression_seed01_fold04,stub_fp_059,stub_ch3,d3_rainbow_trout,esn,regression,1,4
