run_id,experiment,dataset,model,task,seed,fold_id,window_length,protocol_version,evidence_class,protocol_compliant,status,n_train_windows,n_test_windows,n_train_specimens,n_test_specimens,test_specimens_joined,n_train_sessions,n_test_sessions,duration_s,accuracy,auroc,auroc_defined,auroc_n_classes_scored,balanced_accuracy,empty_class_policy,macro_f1,mae,r2,rmse
STUB_e1_main_d3_R0_classification_seed00_fold00,e1_main_d3,d3_rainbow_trout,R0,classification,0,0,16,1.4.0,synthetic_fixture,True,ok,100,20,60,2,STUB,60,2,0.0,0.6,0.8,True,4,0.6,require_all_classes,0.49000000000000005,,,
STUB_e1_main_d3_R0_classification_seed00_fold01,e1_main_d3,d3_rainbow_trout,R0,classification,0,1,16,1.4.0,synthetic_fixture,True,ok,100,20,60,2,STUB,60,2,0.0,0.6,0.8,True,4,0.6,require_all_classes,0.52,,,
STUB_e1_main_d3_R0_classification_seed00_fold02,e1_main_d3,d3_rainbow_trout,R0,classification,0,2,16,1.4.0,synthetic_fixture,True,ok,100,20,60,2,STUB,60,2,0.0,0.6,0.8,True,4,0.6,require_all_classes,0.55,,,
STUB_e1_main_d3_R0_classification_seed00_fold03,e1_main_d3,d3_rainbow_trout,R0,classification,0,3,16,1.4.0,synthetic_fixture,True,ok,100,20,60,2,STUB,60,2,0.0,0.6,0.8,True,4,0.6,require_all_classes,0.5800000000000001,,,
STUB_e1_main_d3_R0_classification_seed00_fold04,e1_main_d3,d3_rainbow_trout,R0,classification,0,4,16,1.4.0,synthetic_fixture,True,ok,100,20,60,2,STUB,60,2,0.0,0.6,0.8,True,4,0.6,require_all_classes,0.6100000000000001,,,
STUB_e1_main_d3_R0_classification_seed01_fold00,e1_main_d3,d3_rainbow_trout,R0,classification,1,0,16,1.4.0,synthetic_fixture,True,ok,100,20,60,2,STUB,60,2,0.0,0.6,0.8,True,4,0.6,require_all_classes,0.49000000000000005,,,
STUB_e1_main_d3_R0_classification_seed01_fold01,e1_main_d3,d3_rainbow_trout,R0,classification,1,1,16,1.4.0,synthetic_fixture,True,ok,100,20,60,2,STUB,60,2,0.0,0.6,0.8,True,4,0.6,require_all_classes,0.52,,,
STUB_e1_main_d3_R0_classification_seed01_fold02,e1_main_d3,d3_rainbow_trout,R0,classification,1,2,16,1.4.0,synthetic_fixture,True,ok,100,20,60,2,STUB,60,2,0.0,0.6,0.8,True,4,0.6,require_all_classes,0.55,,,
STUB_e1_main_d3_R0_classification_seed01_fold03,e1_main_d3,d3_rainbow_trout,R0,classification,1,3,16,1.4.0,synthetic_fixture,True,ok,100,20,60,2,STUB,60,2,0.0,0.6,0.8,True,4,0.6,require_all_classes,0.5800000000000001,,,
STUB_e1_main_d3_R0_classification_seed01_fold04,e1_main_d3,d3_rainbow_trout,R0,classification,1,4,16,1.4.0,synthetic_fixture,True,ok,100,20,60,2,STUB,60,2,0.0,0.6,0.8,True,4,0.6,require_all_classes,0.6100000000000001,,,
STUB_e1_main_d3_R0_regression_seed00_fold00,e1_main_d3,d3_rainbow_trout,R0,regression,0,0,16,1.4.0,synthetic_fixture,True,ok,100,20,60,2,STUB,60,2,0.0,0.6,,,0,0.6,require_all_classes,,1.0999999999999999,-1.0,2.0
STUB_e1_main_d3_R0_regression_seed00_fold01,e1_main_d3,d3_rainbow_trout,R0,regression,0,1,16,1.4.0,synthetic_fixture,True,ok,100,20,60,2,STUB,60,2,0.0,0.6,,,0,0.6,require_all_classes,,1.15,-1.0,2.0
STUB_e1_main_d3_R0_regression_seed00_fold02,e1_main_d3,d3_rainbow_trout,R0,regression,0,2,16,1.4.0,synthetic_fixture,True,ok,100,20,60,2,STUB,60,2,0.0,0.6,,,0,0.6,require_all_classes,,1.2,-1.0,2.0
STUB_e1_main_d3_R0_regression_seed00_fold03,e1_main_d3,d3_rainbow_trout,R0,regression,0,3,16,1.4.0,synthetic_fixture,True,ok,100,20,60,2,STUB,60,2,0.0,0.6,,,0,0.6,require_all_classes,,1.25,-1.0,2.0
STUB_e1_main_d3_R0_regression_seed00_fold04,e1_main_d3,d3_rainbow_trout,R0,regression,0,4,16,1.4.0,synthetic_fixture,True,ok,100,20,60,2,STUB,60,2,0.0,0.6,,,0,0.6,require_all_classes,,1.3,-1.0,2.0
